Location,Ground_Truth,State_List,Rank
"81,13",CR_token2,"[222, 205]",1
"82,3",Stmt_token2,"[126, 132, 92, 95, 187]",3
"82,11",CR_token2,"[222, 206]",1
"83,1",Stmt_token8,"[160, 165, 107, 106, 257]",4
"85,1",Stmt_token7 ID CRStmtCRs Stmt_token8,"[146, 164, 159, 101, 97, 241]",3
"85,5",ID CRStmtCRs Stmt_token8,[244],1
"85,14",CR_token2,[199],1
"86,4",CRStmtCRs_repeat1,"[160, 105, 257]",2
"87,3",Stmt_token9 Expr Stmt_token10 CRStmtCRs MoreThanZeroElseIf,"[160, 105, 257]",4
"87,6",ID . ID,[86],5
"87,20",. ID,"[4, 29, 38, 50, 65, 91, 128, 167, 183, 195, 254]",12
"87,21",ID,[248],2
"87,29",= CompExpr,"[23, 29, 38, 50, 65, 91, 128, 167, 183, 195, 254]",2
"87,31",STR,[117],2
"87,40",Stmt_token10 CRStmtCRs MoreThanZeroElseIf,"[51, 29, 38, 50, 65, 87, 128, 167, 183, 195, 254]",3
"87,44",CR_token2,[124],1
"88,5",ID . ID ( ),"[109, 67, 122]",12
"88,12",. ID ( ),[184],7
"88,13",ID ( ),[255],3
"88,16",( ),[221],3
"88,17",),[27],5
"88,18",CR_token2,"[208, 226, 207]",1
"89,3",OptionalElse_token1,"[109, 112, 68, 122]",4
"89,8",CR_token2,"[218, 219, 211, 206]",1
"92,3",Stmt_token9 Expr Stmt_token10 CRStmtCRs MoreThanZeroElseIf,"[160, 165, 106, 257]",6
"92,6",ID . ID,[86],5
"92,20",. ID,"[4, 29, 38, 50, 65, 91, 128, 167, 183, 195, 254]",12
"92,21",ID,[248],2
"92,29",= CompExpr,"[23, 29, 38, 50, 65, 91, 128, 167, 183, 195, 254]",2
"92,31",STR,[117],2
"92,38",Stmt_token10 CRStmtCRs MoreThanZeroElseIf,"[51, 29, 38, 50, 65, 87, 128, 167, 183, 195, 254]",3
"92,42",CR_token2,[124],1
"93,5",ID = Expr,"[109, 67, 122]",1
"93,19",= Expr,[184],1
"93,21",- Primary,[70],8
"93,22",NUM,[193],1
"93,23",CR_token2,"[43, 32, 42, 48, 59, 90, 135, 169, 181, 194, 215, 226, 207]",1
"94,5",ID ( ),"[109, 112, 68, 122]",6
"94,17",( ),[184],5
"94,18",),[261],1
"94,19",CR,"[215, 226, 207]",2
"94,119",CR_token2,"[215, 226, 207]",1
"95,5",Stmt_token9 Expr Stmt_token10 CRStmtCRs MoreThanZeroElseIf,"[109, 112, 72, 68, 122]",7
"95,8",ID,[86],1
"95,20",= CompExpr,"[4, 29, 38, 50, 65, 91, 128, 167, 183, 195, 254]",2
"95,22",NUM,[117],1
"95,24",Stmt_token10 CRStmtCRs MoreThanZeroElseIf,"[51, 29, 38, 50, 65, 87, 128, 167, 183, 195, 254]",3
"95,28",CR_token2,[124],1
"96,7",ID = Expr,"[109, 67, 122]",1
"96,12",= Expr,[184],1
"96,14",ID,[70],1
"96,19",+ MultiplicativeExpr,"[5, 44, 42, 48, 59, 90, 135, 169, 181, 194, 215, 226, 207]",2
"96,21",ID,[144],2
"96,34",CR_token2,"[5, 44, 42, 40, 59, 90, 135, 169, 181, 194, 215, 226, 207]",1
"97,5",OptionalElse_token1,"[109, 112, 68, 122]",4
"97,10",CR_token2,"[218, 219, 211, 207]",1
"98,5",ID ( ),"[109, 112, 72, 68, 122]",6
"98,14",( ),[184],5
"98,15",),[261],1
"98,16",CR,"[215, 226, 207]",2
"98,36",CR_token2,"[215, 226, 207]",1
"99,3",OptionalElse_token1,"[109, 112, 72, 68, 122]",4
"99,8",CR_token2,"[218, 219, 211, 206]",1
"102,3",Stmt_token9 Expr Stmt_token10 CRStmtCRs MoreThanZeroElseIf,"[160, 165, 107, 106, 257]",6
"102,6",ID . ID,[86],5
"102,20",. ID,"[4, 29, 38, 50, 65, 91, 128, 167, 183, 195, 254]",12
"102,21",ID,[248],2
"102,29",= CompExpr,"[23, 29, 38, 50, 65, 91, 128, 167, 183, 195, 254]",2
"102,31",STR,[117],2
"102,39",Stmt_token10 CRStmtCRs MoreThanZeroElseIf,"[51, 29, 38, 50, 65, 87, 128, 167, 183, 195, 254]",3
"102,43",CR_token2,[124],1
"103,5",ID = Expr,"[109, 67, 122]",1
"103,19",= Expr,[184],1
"103,21",NUM,[70],3
"103,22",CR_token2,"[43, 44, 42, 48, 59, 90, 135, 169, 181, 194, 215, 226, 207]",1
"104,5",ID ( ),"[109, 112, 68, 122]",6
"104,17",( ),[184],5
"104,18",),[261],1
"104,19",CR,"[215, 226, 207]",2
"104,119",CR_token2,"[215, 226, 207]",1
"105,5",Stmt_token9 Expr Stmt_token10 CRStmtCRs MoreThanZeroElseIf,"[109, 112, 72, 68, 122]",7
"105,8",ID,[86],1
"105,20",= CompExpr,"[4, 29, 38, 50, 65, 91, 128, 167, 183, 195, 254]",2
"105,22",NUM,[117],1
"105,24",Stmt_token10 CRStmtCRs MoreThanZeroElseIf,"[51, 29, 38, 50, 65, 87, 128, 167, 183, 195, 254]",3
"105,28",CR_token2,[124],1
"106,7",ID = Expr,"[109, 67, 122]",1
"106,12",= Expr,[184],1
"106,14",ID,[70],1
"106,19",+ MultiplicativeExpr,"[5, 44, 42, 48, 59, 90, 135, 169, 181, 194, 215, 226, 207]",2
"106,21",ID,[144],2
"106,34",CR_token2,"[5, 44, 42, 40, 59, 90, 135, 169, 181, 194, 215, 226, 207]",1
"107,5",OptionalElse_token1,"[109, 112, 68, 122]",4
"107,10",CR_token2,"[218, 219, 211, 207]",1
"108,5",ID ( ),"[109, 112, 72, 68, 122]",6
"108,14",( ),[184],5
"108,15",),[261],1
"108,16",CR,"[215, 226, 207]",2
"108,36",CR_token2,"[215, 226, 207]",1
"109,3",OptionalElse_token1,"[109, 112, 72, 68, 122]",4
"109,8",CR_token2,"[218, 219, 211, 206]",1
"112,3",Stmt_token9 Expr Stmt_token10 CRStmtCRs MoreThanZeroElseIf,"[160, 165, 107, 106, 257]",6
"112,6",ID . ID,[86],5
"112,20",. ID,"[4, 29, 38, 50, 65, 91, 128, 167, 183, 195, 254]",12
"112,21",ID,[248],2
"112,29",= CompExpr,"[23, 29, 38, 50, 65, 91, 128, 167, 183, 195, 254]",2
"112,31",STR,[117],2
"112,38",OrExpr_token1 AndExpr,"[51, 29, 38, 50, 65, 87, 128, 167, 183, 195, 254]",8
"112,41",ID . ID,[100],5
"112,55",. ID,"[4, 29, 38, 50, 65, 91, 128, 153, 183, 195, 254]",11
"112,56",ID,[248],2
"112,64",= CompExpr,"[23, 29, 38, 50, 65, 91, 128, 153, 183, 195, 254]",2
"112,66",STR,[117],2
"112,74",Stmt_token10 CRStmtCRs MoreThanZeroElseIf,"[51, 29, 38, 50, 65, 87, 128, 153, 183, 195, 254]",3
"112,78",CR_token2,[124],1
"113,5",ID = Expr,"[109, 67, 122]",1
"113,11",= Expr,[184],1
"113,13",NUM,[70],3
"113,14",CR_token2,"[43, 44, 42, 48, 59, 90, 135, 169, 181, 194, 215, 226, 207]",1
"114,3",OptionalElse_token1,"[109, 112, 68, 122]",4
"114,8",CR_token2,"[218, 219, 211, 206]",1
"116,4",TheRest,"[160, 165, 107, 106, 257]",8
"117,3",Stmt_token9 Expr Stmt_token10 Stmt_repeat1 MoreThanZeroElseIf,"[160, 165, 107, 106, 257]",13
"117,6",ID . ID,[86],5
"117,20",. ID,"[4, 29, 38, 50, 65, 91, 128, 167, 183, 195, 254]",12
"117,21",ID,[248],2
"117,29",= CompExpr,"[23, 29, 38, 50, 65, 91, 128, 167, 183, 195, 254]",2
"117,31",STR,[117],2
"117,36",Stmt_token10 Stmt_repeat1 MoreThanZeroElseIf,"[51, 29, 38, 50, 65, 87, 128, 167, 183, 195, 254]",9
"117,40",CR_token2,[124],1
"118,5",ID = Expr,"[109, 67, 122]",1
