File Name,Total,Top-1 Acc (%),Top-3 Acc (%),Top-5 Acc (%),Top-10 Acc (%),Top-20 Acc (%),Found,Found (%),Not Found,Not Found (%),Fail,Fail (%)
php-8-objects-patterns-practice-main_src_ch08_batch02_CostStrategy.php,41,34.15,65.85,75.61,92.68,100.0,41,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch08_batch02_Runner.php,180,47.22,70.0,86.67,95.56,97.78,178,98.89,2,1.11,0,0.0
php-8-objects-patterns-practice-main_src_ch08_batch02_RegistrationMgr.php,61,44.26,73.77,85.25,98.36,100.0,61,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch08_batch02_MailNotifier.php,42,61.9,83.33,85.71,95.24,95.24,41,97.62,1,2.38,0,0.0
php-8-objects-patterns-practice-main_src_ch08_batch02_Lesson.php,96,52.08,77.08,88.54,95.83,100.0,96,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch08_batch02_Lecture.php,22,68.18,77.27,95.45,100.0,100.0,22,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch08_batch01_Seminar.php,31,70.97,83.87,96.77,100.0,100.0,31,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch08_batch01_Runner.php,118,46.61,72.03,88.98,96.61,96.61,116,98.31,2,1.69,0,0.0
php-8-objects-patterns-practice-main_src_ch08_batch01_Lesson.php,168,35.71,62.5,70.83,89.29,98.21,168,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch08_batch01_Lecture.php,31,70.97,83.87,96.77,100.0,100.0,31,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch04_Preferences.php,133,46.62,76.69,87.97,97.74,100.0,133,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch04_Runner.php,83,44.58,75.9,86.75,93.98,96.39,83,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch03_ShopProduct.php,498,42.97,74.7,83.73,92.37,98.8,496,99.6,2,0.4,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch03_CluedUp.php,41,63.41,80.49,85.37,92.68,95.12,40,97.56,1,2.44,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch03_Minion.php,41,63.41,80.49,85.37,92.68,95.12,40,97.56,1,2.44,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch03_Runner.php,102,42.16,73.53,86.27,100.0,100.0,102,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch03_NastyBoss.php,88,47.73,82.95,89.77,98.86,100.0,88,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch03_Employee.php,117,37.61,64.1,76.92,93.16,99.15,117,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch03_WellConnected.php,42,64.29,80.95,85.71,92.86,95.24,41,97.62,1,2.38,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch13_Runner.php,51,47.06,80.39,86.27,96.08,98.04,51,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch13_Settings.php,29,58.62,75.86,82.76,100.0,100.0,29,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch13_AppConfig.php,175,46.86,73.71,85.14,95.43,99.43,175,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch15_ObjectAssembler.php,595,48.74,75.29,84.2,97.14,99.66,595,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch15_Inject.php,32,56.25,87.5,93.75,93.75,100.0,32,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch15_AppointmentMaker.php,78,47.44,82.05,91.03,98.72,100.0,78,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch15_Runner.php,157,49.04,80.25,90.45,98.73,98.73,157,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch15_InjectConstructor.php,33,57.58,84.85,90.91,90.91,96.97,32,96.97,1,3.03,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch15_TerrainFactory.php,131,48.85,74.05,85.5,90.08,96.18,129,98.47,2,1.53,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch15_AppointmentMaker2.php,66,62.12,84.85,90.91,96.97,100.0,66,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch02_CluedUp.php,42,64.29,80.95,85.71,92.86,95.24,41,97.62,1,2.38,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch02_Minion.php,41,63.41,80.49,85.37,92.68,95.12,40,97.56,1,2.44,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch02_Runner.php,99,44.44,73.74,82.83,96.97,100.0,99,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch02_NastyBoss.php,88,48.86,84.09,90.91,98.86,100.0,88,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch02_Employee.php,39,48.72,69.23,79.49,89.74,97.44,39,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch11_MarsForest.php,21,71.43,80.95,95.24,100.0,100.0,21,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch11_EarthForest.php,21,71.43,80.95,95.24,100.0,100.0,21,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch11_MarsSea.php,21,71.43,80.95,95.24,100.0,100.0,21,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch11_Forest.php,19,63.16,78.95,89.47,94.74,94.74,18,94.74,1,5.26,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch11_Sea.php,19,63.16,78.95,89.47,94.74,94.74,18,94.74,1,5.26,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch11_Plains.php,19,63.16,78.95,89.47,94.74,94.74,18,94.74,1,5.26,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch11_EarthSea.php,21,71.43,80.95,95.24,100.0,100.0,21,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch11_Runner.php,144,40.28,61.11,74.31,94.44,100.0,144,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch11_MarsPlains.php,21,71.43,80.95,95.24,100.0,100.0,21,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch11_TerrainFactory.php,88,40.91,73.86,85.23,88.64,96.59,88,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch11_EarthPlains.php,21,71.43,80.95,95.24,100.0,100.0,21,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch14_1_ObjectAssembler.php,259,49.81,79.54,89.58,98.84,99.23,259,100.0,0,0.0,0,0.0
