File Name,Total,Found,Found (%),Not Found,Not Found (%),Fail,Fail (%)
learn-haskell-by-example-main_chapter7+8_csview_src_Util_Text.hs,165,165,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter7+8_csview_src_Util_Arguments.hs,340,340,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter7+8_csview_src_Csv_Operations.hs,220,220,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter7+8_csview_src_Csv_Print.hs,866,866,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter7+8_csview_src_Csv_Types.hs,608,608,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter7+8_csview_src_Csv_Parsing.hs,565,565,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter14+15_backup_Setup.hs,7,7,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter14+15_backup_test_Spec.hs,9,9,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter14+15_backup_app_Main.hs,318,318,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter14+15_backup_src_App.hs,27,27,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter14+15_backup_src_System_FileType.hs,179,179,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter14+15_backup_src_System_Directory_Safe.hs,307,307,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter14+15_backup_src_App_Impl.hs,589,589,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter14+15_backup_src_App_Types.hs,410,410,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter3+4_lnums_Setup.hs,7,7,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter3+4_lnums_test_Spec.hs,9,9,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter3+4_lnums_app_Main.hs,275,275,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter3+4_lnums_src_Lib.hs,377,377,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter3+4_lnums_src_Exercises.hs,585,585,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter9_properties_Setup.hs,7,7,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter9_properties_test_Spec.hs,86,86,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter9_properties_test_SuiteOne.hs,44,44,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter9_properties_test_SuiteTwo.hs,81,81,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter9_properties_src_Misc.hs,40,40,100.0,0,0.0,0,0.0
